Date,PriceUSD,OpenUSD,HighUSD,LowUSD,Change
"Jun 12, 2020",4.2705,4.2575,4.2880,4.2550,0.49
"Jun 11, 2020",4.2495,4.2515,4.2600,4.2365,-0.05
"Jun 10, 2020",4.2515,4.2750,4.2805,4.2505,-0.56
"Jun 09, 2020",4.2755,4.2610,4.2785,4.2450,0.36
"Jun 08, 2020",4.2600,4.2610,4.2610,4.2600,-0.18
"Jun 05, 2020",4.2675,4.2740,4.2760,4.2595,-0.12
"Jun 04, 2020",4.2725,4.2625,4.2800,4.2590,0.35
"Jun 03, 2020",4.2575,4.2750,4.2750,4.2505,-0.40
"Jun 02, 2020",4.2745,4.3080,4.3080,4.2745,-0.93
"Jun 01, 2020",4.3145,4.3450,4.3460,4.3080,-0.76
"May 29, 2020",4.3475,4.3500,4.3550,4.3415,-0.07
"May 28, 2020",4.3505,4.3550,4.3605,4.3495,0.00
"May 27, 2020",4.3505,4.3500,4.3650,4.3446,-0.30
"May 22, 2020",4.3635,4.3500,4.3650,4.3450,0.39
"May 21, 2020",4.3465,4.3500,4.3540,4.3415,-0.05
"May 20, 2020",4.3485,4.3480,4.3570,4.3475,0.00
"May 19, 2020",4.3485,4.3550,4.3600,4.3395,-0.32
"May 18, 2020",4.3625,4.3565,4.3720,4.3485,0.25
"May 15, 2020",4.3515,4.3420,4.3520,4.3295,0.25
"May 14, 2020",4.3405,4.3390,4.3405,4.3340,0.23
