Date,PriceUSD,OpenUSD,HighUSD,LowUSD,VolumeUSD,Change
"Jun 12, 2020","1,737.30","1,733.60","1,753.00","1,728.20",,-0.14
"Jun 11, 2020","1,739.80","1,746.60","1,754.90","1,727.50",205.35,1.11
"Jun 10, 2020","1,720.70","1,718.90","1,749.40","1,714.10",198.76,-0.07
"Jun 09, 2020","1,721.90","1,703.90","1,729.40","1,697.60",182.91,0.99
"Jun 08, 2020","1,705.10","1,686.70","1,707.60","1,680.70",154.77,1.31
"Jun 05, 2020","1,683.00","1,720.80","1,723.20","1,671.70",273.68,-2.57
"Jun 04, 2020","1,727.40","1,702.80","1,729.00","1,698.90",198.72,1.33
"Jun 03, 2020","1,704.80","1,733.70","1,738.90","1,690.30",256.52,-1.68
"Jun 02, 2020","1,734.00","1,750.30","1,757.00","1,728.00",175.35,-0.93
"Jun 01, 2020","1,750.30","1,749.80","1,761.00","1,737.60",146.13,-0.08
"May 29, 2020","1,751.70","1,732.70","1,754.50","1,725.30",150.11,1.35
"May 28, 2020","1,728.30","1,725.00","1,743.70","1,720.00",164.82,0.09
"May 27, 2020","1,726.80","1,724.10","1,729.10","1,701.60",158.95,-0.08
"May 26, 2020","1,728.20","1,753.00","1,755.60","1,721.20",152.50,0.07
"May 25, 2020","1,727.00","1,730.55","1,731.35","1,719.25",,-0.21
"May 24, 2020","1,730.65","1,735.45","1,735.90","1,729.80",,-0.28
"May 22, 2020","1,735.50","1,726.00","1,742.00","1,722.50",196.82,0.79
"May 21, 2020","1,721.90","1,751.70","1,751.70","1,715.30",238.74,-1.72
"May 20, 2020","1,752.10","1,749.20","1,757.60","1,744.00",184.46,0.37
"May 19, 2020","1,745.60","1,734.80","1,751.60","1,727.20",185.26,0.65
"May 18, 2020","1,734.40","1,757.50","1,775.80","1,729.30",271.47,-1.25
"May 15, 2020","1,756.30","1,738.50","1,761.20","1,736.80",200.18,0.88
"May 14, 2020","1,740.90","1,723.10","1,746.50","1,716.00",212.91,1.43
